Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: lout_if Architecture: arch_lout_if, 0h:00m:00s,     90 MB
work, Entity: image_clock_manager Architecture: arch_icm, 0h:00m:00s,     90 MB
work, Entity: division_16_22 Architecture: arch_div, 0h:00m:00s,     90 MB
work, Entity: enc_ctr Architecture: enc_ctr_arch, 0h:00m:00s,     90 MB
work, Entity: division_16_10 Architecture: arch_div, 0h:00m:00s,     90 MB
work, Entity: division_16_8 Architecture: arch_div, 0h:00m:00s,     90 MB
work, Entity: gap_manager Architecture: gap_manager_arch, 0h:00m:00s,     95 MB
work, Entity: repeat_manager Architecture: repeat_manager_arch, 0h:00m:00s,     95 MB
work, Entity: write_laser Architecture: arch_write_laser, 0h:00m:00s,     95 MB
work, Entity: mcu_if Architecture: mcu_if_arch, 0h:00m:00s,     95 MB
work, Entity: gapreg Architecture: arch_gapreg, 0h:00m:00s,     95 MB
work, Entity: galvo_dac_manager Architecture: arch_gdacm, 0h:00m:00s,     95 MB
work, Entity: paramreg Architecture: arch_paramreg, 0h:00m:00s,     95 MB
work, Entity: VHI Architecture: syn_black_box, 0h:00m:00s,     95 MB
work, Entity: VLO Architecture: syn_black_box, 0h:00m:00s,     95 MB
work, Entity: DP8KC Architecture: syn_black_box, 0h:00m:00s,     95 MB
work, Entity: DataBuffer Architecture: structure, 0h:00m:00s,     95 MB
work, Entity: dpram4wide Architecture: arch_dpram4wide, 0h:00m:00s,     95 MB
work, Entity: data_out_fpga Architecture: arch_data_out_fpga, 0h:00m:00s,     95 MB
